name,residual
Ts2 & Yeah Baby Lounge,0.2900000000000045
El Amiguito Mobile Taco,0.2880000000000065
Toms Corner Grill,0.28699999999999903
Shrimp Express II,0.28600000000000136
Foodery Roxborough,0.2859999999999978
Spot Burgers,0.2849999999999957
Down Home Diner,0.2829999999999968
Percy's Hot Chicken & Smoothies,0.2820000000000027
Dave's Hot Chicken,0.28100000000000414
The Cauldron Philly,0.28100000000000147
Philly Steak Co.,0.2800000000000038
Phở 75,0.28000000000000114
Society Hill Hotel,0.27999999999999936
Castellino's Italian Market,0.2799999999999967
Zig Zag BBQ,0.27900000000000524
Sophisticated flavors,0.278000000000004
Maria's Restaurant inc.,0.278000000000004
Mabu Kitchen,0.27800000000000225
DumpNRoll,0.27799999999999514
Rocco's Italian Sausage,0.27700000000000546
Mango Mango Dessert,0.27600000000000424
MEGOBARI CAFE,0.2760000000000007
Indian Char House,0.27400000000000535
Popeyes Louisiana Kitchen,0.2740000000000018
El Punto,0.274
Macho's Delish Mix,0.27299999999999613
Thee pink plate cafe,0.271999999999994
Tei Japanese Cuisine,0.27099999999999813
Pepper Palace Philly,0.2700000000000049
Momentos Pizza,0.26699999999999946
Famous Gyro,0.266
Palmyra Restaurant/Samarkand Shashlik House,0.2659999999999947
Drunk Crab,0.2649999999999997
Cosi,0.26499999999999435
Pho Xe Lua Viet Thai Restaurant,0.26399999999999935
Tacconelli's Pizza,0.26399999999999935
Carters Pizza and Beer,0.262000000000004
Smiley's Café,0.2609999999999957
In Riva,0.25800000000000534
Crazy Crab House,0.25700000000000234
Linden Italian Market,0.2569999999999997
Amalfi Ristorante,0.25600000000000644
Sweet Lucy's Smokehouse,0.2560000000000002
Kichi Omakase,0.2540000000000031
The Crazy Leprechaun,0.25400000000000045
Cantinho Brasileiro,0.2530000000000019
House of Thai Cuisine,0.2520000000000042
Artesano Cafe,0.25200000000000067
Apollo's Express,0.25200000000000067
Mr. Platano Restaurant,0.25099999999999945
KASUMI SUSHI,0.2509999999999959
Yummy Phở,0.25000000000000533
BAR 1010,0.25
Ogawa Sushi & Kappo,0.24999999999999556
Prince Of Pizza & Falafel,0.249000000000005
Galaxy Pizza,0.24700000000000255
Volo Coffeehouse,0.2469999999999999
Pizza Mixta,0.24699999999999722
Chick-fil-A,0.24600000000000044
Crabs Tu You,0.24500000000000632
Al-Salam Grill,0.24400000000000066
Gold Fish Chinese Restaurant & Seafood Shack,0.24300000000000477
Bastia,0.24299999999999589
New Pizza Villa,0.242
Barclay Prime,0.24100000000000232
Bar Lizette,0.24100000000000055
Krick Wuder Saloon and Restaurant,0.24100000000000055
La Nonna,0.24100000000000055
Her Place Supper Club,0.24099999999999966
The Boozy Mutt,0.24099999999999522
Sulimay's Restaurant,0.24099999999999433
America's Best Wings,0.24000000000000066
All the Way Live Cafe - Germantown,0.23700000000000188
Johnny B's All American Pizza,0.237000000000001
Marrakesh,0.2369999999999992
LA CATEDRAL CAFE & RESTAURANT,0.23600000000000776
More life,0.2360000000000051
Hardena,0.2360000000000042
&pizza,0.23599999999999977
Woondal Restaurant & Grill,0.2349999999999941
Pearl and Mary Oyster Bar,0.23399999999999999
Mini Mighty Grub,0.23300000000000054
OG Pizza,0.23300000000000054
Queens Restaurant,0.2329999999999992
Spice 28,0.2320000000000002
Aroma on 3rd,0.23199999999999932
Good Day Deli,0.23199999999999932
Yamato Japanese Sushi and Hibachi,0.23199999999999932
Chickie's and Pete's Terminal D,0.23199999999999488
Das Good Cafe,0.23100000000000698
Square Pie,0.2310000000000052
Tommy pizza,0.2310000000000043
Kitchen Express,0.2309999999999981
Portuguese Cuisine,0.23000000000000131
New London Pizza,0.23000000000000087
Sheba's Soul Plate restaurant,0.22899999999999565
Al-Baik Shawarma & Grill,0.22899999999999565
Gou Restaurant,0.22800000000000598
Buena Vista Mexican Restaurant and Bar,0.22799999999999798
Surreal Creamery,0.22599999999999554
Seorabol Restaurant,0.22500000000000053
Domenic's Pizza,0.2249999999999952
Paisa's Pizza,0.22399999999999753
Kin Wha Garden,0.22399999999999576
Bless Chinese and American Resturaunt,0.22300000000000075
Tacos La Charreada,0.22000000000000686
Madis Coffee Roasters,0.2199999999999962
The Morris Restaurant,0.2190000000000083
White Yak Restaurant,0.21900000000000652
Adoro Restaurant,0.2190000000000003
Pizzeria Vetri,0.21899999999999942
Mari Mari,0.2180000000000044
Slices Pizza,0.21699999999999964
Dawson Street Pub,0.2169999999999952
T & F Farmers' Pride,0.2169999999999943
Sergio’s Restaurant and Burger Philadelphia,0.2149999999999972
DIG,0.2140000000000004
Ferrante’s Meats & More,0.2139999999999933
ILLATA,0.2130000000000063
PIZZA Shackamaxon,0.2130000000000054
The Breakfast Den,0.2129999999999992
Food Geez Restaurant and Lounge,0.2129999999999983
Dara's Mediterranean,0.2129999999999974
Hi-Lo Taco Co.,0.21299999999999564
Baru Restaurant,0.21200000000000596
Saami Somi,0.21199999999999442
Little Sicily Pizza 2,0.21000000000000085
Nourish,0.2099999999999973
Wood fired pizza by oh brother,0.20999999999999552
Hello Vietnam,0.20999999999999464
Vivaldi Restaurant,0.20800000000000463
Greg's Kitchen,0.20800000000000107
Café & Market Rokhat,0.20799999999999486
The Ranchito,0.20699999999999896
"Maxi's Pizza, Subs and Bar",0.20699999999999497
Nori Ramen & Poke bowl,0.2050000000000063
Rocco's Italian Sausage,0.20499999999999474
The Brass Tap,0.20400000000000595
El Limon Chestnut Hill,0.20400000000000595
Maggiano's Little Italy,0.2040000000000015
Cafe Michelangelo,0.20400000000000063
Pizza Point,0.2039999999999984
Crown Deli,0.20299999999999585
La Nova Pizza & Steak NE,0.20200000000000706
Tonalli Philly,0.20200000000000617
Satay Bistro Philly,0.2020000000000053
Chestnut Hill Brewing Company,0.2020000000000035
McMenamin's Tavern,0.20199999999999552
Falone's Steaks & Hoagies,0.20199999999999552
The Victor Café,0.20199999999999374
Jojo's Cafe,0.20100000000000495
Pazzo Pazzo,0.2010000000000014
Blazin Flavorz Inc,0.19999999999999485
Ackee Tree Jamaican Restaurant,0.19899999999999807
Wolf Burger,0.1989999999999954
Cilantro Mediterranean Cuisine,0.19800000000000573
Yang China House,0.19799999999999995
Raising Cane's Chicken Fingers,0.19799999999999596
Wawa PHA,0.1970000000000054
Jean's Pizza,0.19699999999999473
Lisa's Kitchen,0.19600000000000595
Zio Pizza Palace & Grill,0.19600000000000417
Ambassador,0.19600000000000062
Time Burger,0.1959999999999944
Captain's Choice,0.19499999999999673
Mood Cafe,0.19400000000000617
ELIXR Coffee 3675 Market,0.1920000000000055
Twisted Gingers Brewing Co,0.1920000000000055
Paris Bánh Mì Philadelphia PA,0.19100000000000428
Taco Heart,0.19099999999999895
Dim Sum & Noodle,0.19099999999999717
Fuki Sushi & Ramen,0.1909999999999945
Takka Grill & Pizza On Chelten Ave,0.1900000000000026
Aldo's Pizzarama,0.1899999999999995
Major's,0.1899999999999995
Cheesy Burgers,0.18899999999999917
Fat Moon Restaurant & Bar,0.1889999999999965
Tsaocaa,0.18899999999999473
Popeyes Louisiana Kitchen,0.18800000000000505
Dara,0.18500000000000494
Rustica,0.18500000000000316
Surreal Creamery,0.1850000000000005
Ji Bei Chuan Philly,0.18499999999999606
Fogo de Chão Brazilian Steakhouse,0.18499999999999606
The Angelo Pizza,0.1840000000000046
Wendy's,0.18400000000000372
QT Vietnamese Sandwich,0.1839999999999966
La Esquina Del Bronco,0.18399999999999572
Black Cat Tavern on 12th,0.18300000000000516
Sam's Restaurant,0.18300000000000072
Manayunk Pizza,0.18299999999999983
Nanu's Hot Chicken,0.18299999999999983
Sakura Ramen & Sushi bar,0.18299999999999628
Jordan Johnson,0.1829999999999945
Oh Brother Philly,0.18200000000000394
Mr Sushi,0.1819999999999995
New York Famous Gyro Halal Food,0.18199999999999683
Miki Pizza,0.18199999999999505
Antonio's Deli (University City),0.18199999999999417
Chase's Hop Shop,0.18100000000000538
Rita's Italian Ice & Frozen Custard,0.1810000000000036
Aramingo's Best Pizza,0.18100000000000094
New Town Restaurant & Deli,0.18100000000000005
Rocco's Italian Sausage,0.18100000000000005
RICO MEXICAN TACOS,0.18100000000000005
Post Haste,0.18000000000000504
The rotten monkey bar and grill inc,0.18000000000000416
ChiMcKing Chicken & Beer,0.17999999999999972
Little Water,0.17999999999999616
Mario Brothers Pizza,0.1790000000000056
Tio Pepe Restaurant & Bar,0.17900000000000382
Debbie's Place,0.17900000000000116
El Mictlan Restaurant,0.17900000000000116
Malelani Cafe,0.17899999999999494
Jimmy's Timeout Sports Pub,0.17800000000000438
New Star,0.17799999999999994
Amigos Restaurant & Pizza,0.1779999999999955
Salam Cafe,0.1779999999999946
Tandoori Pizza - Philadelphia,0.1779999999999946
Oxford Tavern,0.17700000000000493
Pho Mi Rittenhouse,0.17700000000000404
Ricky & Maria Pizza and Pasta,0.1769999999999996
Shay’s Steaks,0.17600000000000726
Chick-fil-A,0.1760000000000037
Taqueria La Prima,0.17599999999999927
Mom-Mom's Kitchen,0.17599999999999572
Sakana Omakase Sushi,0.17599999999999572
Kungfu Hotpot,0.17599999999999483
Yellow Bicycle Canteen,0.17500000000000515
Kennedy chicken & burguer,0.1740000000000066
Mawn,0.17300000000000537
Tin Can Bar,0.17299999999999915
Cafe Liz,0.17200000000000504
King of Pizza,0.17200000000000504
Café y Chocolate,0.17199999999999527
My Loup,0.17100000000000382
Bonk's Bar,0.17100000000000026
Dimension Latin Grill,0.17099999999999937
Yang's Kitchen,0.17099999999999493
Hot Cup Coffee & Sushi,0.17099999999999405
Nam Chon,0.17000000000000703
Nora's Kitchen,0.17000000000000437
Ekta Indian Cuisine,0.1690000000000058
Osteria Ama Philly,0.16900000000000315
GYRO EXPRESS,0.16900000000000137
Restaurante Latino Lela,0.1689999999999996
Daiva's Grille,0.16899999999999782
Jumbo Meat Market,0.16899999999999604
Dagwood's Pub,0.16899999999999515
TOWNSEND EPX,0.16899999999999515
Medusa Pizzeria,0.16800000000000548
Suraya Restaurant,0.1680000000000046
Halal Brothers,0.16700000000000692
Top Taste,0.16700000000000514
Pita Chip,0.1660000000000048
Lincoln Chicken & Burger,0.1660000000000008
Two Robbers Fishtown,0.16600000000000037
El Mezcal Cantina,0.16599999999999682
Cook and Shaker,0.16599999999999504
Kiku Sushi,0.16500000000000536
Cafe Albania,0.16500000000000448
The Love.,0.16400000000000325
Philly Rico Pollo,0.1640000000000006
Wokworks South Philadelphia,0.16399999999999615
Taqueria Cresta,0.16399999999999526
Bishos,0.16399999999999526
Lucky's Roadside Stand,0.16399999999999526
Second District Brewing,0.1630000000000047
Renzi's Pizzeria,0.1630000000000047
El Bochinche Restaurant & Bar,0.16299999999999937
Corey’s Crafty Vietnamese Cuisine,0.16200000000000703
Stoli's Steaks,0.16200000000000347
Harv's Burger Bar at Gallo's,0.16099999999999515
Cherish Philly,0.16000000000000547
McNally's Tavern CHESTNUT HILL,0.16000000000000458
Mural City Cellars,0.16000000000000458
Elwood,0.16000000000000458
Tony's Pizzeria of Port Richmond,0.15999999999999748
Vetri Cucina,0.15999999999999748
La Tienda,0.1599999999999966
Kebab USA,0.1599999999999948
Buna Cafe Philly,0.15900000000000514
Yuhiro Sushi and Handroll Bar,0.15899999999999626
Cucina Zapata,0.15800000000000658
Pizza Jawn,0.1580000000000057
The Rook Manayunk,0.1580000000000048
Quig's Pizza Steaks & Hoagie's,0.15800000000000392
Coco Grille,0.15800000000000303
Freddy & Tony's,0.15799999999999947
Clarkville,0.15799999999999503
Sky Beer & Steak Deli,0.15799999999999503
Four Seasons Hotel Philadelphia at Comcast Center,0.15700000000000447
Oishii Sushi & Ramen,0.15700000000000447
Darling Jack's Tavern,0.1569999999999938
M & M Restaurant,0.1569999999999938
