latitude,longitude,median_income,population
39.9139475,-75.1520299,75185.0,3942.0
39.9296476,-75.16300869999999,94427.0,5868.0
39.9140467,-75.1528021,75185.0,3942.0
39.912735,-75.17759749999999,113636.0,5982.0
39.9116371,-75.1827325,113636.0,5982.0
39.9263323,-75.16744899999999,82258.0,4118.0
39.92501499999999,-75.151605,99797.0,4409.0
39.928003,-75.1601058,94427.0,5868.0
39.9180556,-75.16870639999999,94150.0,5182.0
39.925988,-75.16783629999999,82258.0,4118.0
39.925543,-75.1603019,72500.0,5489.0
39.9275013,-75.1659813,94427.0,5868.0
39.9263619,-75.16904749999999,104981.0,4031.0
39.9253797,-75.1506881,99797.0,4409.0
39.9202081,-75.141747,78822.66666666667,5227.0
39.9193443,-75.1710284,87258.0,5206.0
39.9294932,-75.16374069999999,94427.0,5868.0
39.9149644,-75.1766382,87258.0,5206.0
39.9196222,-75.1713639,87258.0,5206.0
39.9214047,-75.1583181,72500.0,5489.0
39.913885,-75.1524183,75185.0,3942.0
39.9211833,-75.158461,72500.0,5489.0
39.9305214,-75.1628056,104981.0,4031.0
39.9201855,-75.1604778,52083.0,4670.0
39.9091912,-75.1646617,71075.66666666667,3909.3333333333335
39.9208339,-75.1587673,72500.0,5489.0
39.9129421,-75.14984079999999,75185.0,3942.0
39.9160792,-75.16714309999999,75185.0,3942.0
39.919023,-75.14873639999999,75984.0,5568.0
39.9256203,-75.16842679999999,82258.0,4118.0
39.9225993,-75.15484719999999,84500.0,4545.0
39.9128769,-75.1536302,75185.0,3942.0
39.9128382,-75.1539,75185.0,3942.0
39.9215396,-75.158303,72500.0,5489.0
39.9263543,-75.16739199999999,82258.0,4118.0
39.9169966,-75.1528199,75984.0,5568.0
39.9091912,-75.1646617,69705.88888888889,3898.444444444445
39.91614819999999,-75.1646529,94150.0,5182.0
39.9211561,-75.16326649999999,72500.0,5489.0
39.9229179,-75.15253779999999,84500.0,4545.0
39.9279835,-75.1658834,104981.0,4031.0
39.9208754,-75.1635733,94150.0,5182.0
39.9244589,-75.1793062,47760.0,3499.0
39.919413,-75.14117999999999,76930.22222222223,5454.333333333333
39.9266149,-75.1458371,99797.0,4409.0
39.9171256,-75.14176859999999,77245.62962962964,5416.444444444444
39.9281465,-75.1652573,94427.0,5868.0
39.9265145,-75.1456908,99797.0,4409.0
39.9270694,-75.16716579999999,104981.0,4031.0
39.92691629999999,-75.1666111,94427.0,5868.0
39.9289011,-75.15701849999999,71027.0,4175.0
39.9428742,-75.1456449,137250.0,3493.0
39.9209042,-75.1453867,79768.88888888889,5113.333333333333
39.9277315,-75.1658521,94427.0,5868.0
39.9192909,-75.1591469,52083.0,4670.0
39.9157848,-75.16481259999999,75185.0,3942.0
39.914085,-75.14876679999999,75984.0,5568.0
39.9136075,-75.14882,75185.0,3942.0
39.911331,-75.17433129999999,113636.0,5982.0
39.9263366,-75.1474124,99797.0,4409.0
39.92746,-75.1637528,94427.0,5868.0
39.9279435,-75.1620615,94427.0,5868.0
